"","month","shanghai_pm10","seoul_pm10"
"1",1,47.2413793103448,52.6206896551724
"2",2,48.6785714285714,55.3214285714286
"3",3,44.8333333333333,51.1666666666667
"4",4,57.3928571428571,52.5714285714286
"5",5,51.0967741935484,45.0322580645161
"6",6,38.5333333333333,40.5
"7",7,36.6129032258064,27.8387096774194
"8",8,33.7096774193548,24.4838709677419
"9",9,34.7333333333333,22.5333333333333
"10",10,37.0967741935484,31.5806451612903
"11",11,39.7931034482759,50.7241379310345
"12",12,40.258064516129,44.7741935483871
