"","month","shanghai_pm10","seoul_pm10"
"1",1,51.448275862069,58.0689655172414
"2",2,47.1785714285714,57.8214285714286
"3",3,54.3214285714286,54.2857142857143
"4",4,49.1,44.6666666666667
"5",5,50.6451612903226,54.1290322580645
"6",6,34.9333333333333,30.1333333333333
"7",7,36.4193548387097,26.0967741935484
"8",8,37.5161290322581,24.1290322580645
"9",9,36.2,22.0666666666667
"10",10,44.6785714285714,30.2857142857143
"11",11,45.4137931034483,36.3448275862069
"12",12,48.7666666666667,43.9666666666667
