"","month","shanghai_pm10","seoul_pm10"
"1",1,46.5161290322581,52.1290322580645
"2",2,51.0357142857143,50.3214285714286
"3",3,49.0645161290323,60.8709677419355
"4",4,57.6,59.5
"5",5,45.2222222222222,50.4074074074074
"6",6,40.8666666666667,44.9666666666667
"7",7,37.8461538461538,32.6923076923077
"8",8,43.0769230769231,29.1538461538462
"9",9,32.1111111111111,47.2222222222222
"10",10,36.2258064516129,33.4838709677419
"11",11,51.7666666666667,44.9666666666667
"12",12,57.5172413793103,49.6206896551724
