"","month","shanghai_pm10","seoul_pm10"
"1",1,56.0769230769231,53.5769230769231
"2",2,42.8333333333333,45.0833333333333
"3",3,56.3928571428571,57.4285714285714
"4",4,54.7241379310345,54.9655172413793
"5",5,60.6153846153846,53.3846153846154
"6",6,47.9333333333333,41.7666666666667
"7",7,46.5806451612903,41
"8",8,41.9677419354839,31.6774193548387
"9",9,41.2,32.5333333333333
"10",10,54.4838709677419,38.3870967741936
"11",11,56.3793103448276,47.9655172413793
"12",12,70.2758620689655,43.6206896551724
