date,china_average,seoul_average
2014-05-15,119.1666667,49
2014-05-16,123.7777778,53
2014-05-17,103.5555556,56
2014-05-18,115,56
2014-05-19,130.5555556,60
2014-05-02,104.5555556,71
2014-05-20,138.8888889,66
2014-05-21,149.1111111,59
2014-05-22,113.5,46
2014-05-23,71.77777778,65
2014-05-24,119.4444444,63
2014-05-25,133.6111111,53
2014-05-26,161.5,74
2014-05-27,123.0555556,114
2014-05-28,136.8888889,123
2014-05-29,177.6666667,103
2014-05-03,97.05555556,28
2014-05-30,187.3888889,69
2014-05-31,88.22222222,91
2014-05-04,98.77777778,40
2014-05-05,122.2777778,37
2014-05-06,110.2222222,40
2014-05-07,106.8888889,47
2014-05-08,97.44444444,36
2014-05-09,78.27777778,46
2014-06-01,57.94444444,79
2014-06-10,94.05555556,35
2014-06-11,99.72222222,22
2014-06-12,126.2222222,27
2014-06-13,141.5,58
2014-06-14,110.6666667,42
2014-06-15,110.8888889,44
2014-06-16,85.27777778,37
2014-06-17,84,68
2014-06-18,111,51
2014-06-19,72.33333333,53
2014-06-02,67.72222222,77
2014-06-20,77.44444444,56
2014-06-21,100.9444444,27
2014-06-22,96.72222222,22
2014-06-23,108.3888889,33
2014-06-24,116.1111111,45
2014-06-25,97.55555556,55
2014-06-26,91.16666667,52
2014-06-27,94.16666667,37
2014-06-28,118.7222222,40
2014-06-29,107.7222222,35
2014-06-03,89.38888889,30
2014-06-30,124.3888889,36
2014-06-04,96.16666667,23
2014-06-05,126,21
2014-06-06,77.33333333,30
2014-06-07,103.5555556,39
2014-06-08,97,35
2014-06-09,99.44444444,44
2014-07-01,83.55555556,48
2014-07-10,110.3888889,33
2014-07-11,120.3333333,59
2014-07-12,98.55555556,67
2014-07-13,104.5,57
2014-07-14,85.61111111,70
2014-07-15,97.61111111,79
2014-07-16,92.77777778,55
2014-07-17,85.16666667,24
2014-07-18,86.77777778,16
2014-07-19,83.16666667,47
2014-07-02,86.22222222,70
2014-07-20,98.16666667,56
2014-07-21,98.5,58
2014-07-22,83.11111111,19
2014-07-23,100.2777778,18
2014-07-24,52.11111111,12
2014-07-25,98.55555556,18
2014-07-26,114.9444444,32
2014-07-27,116.7222222,72
2014-07-28,98.72222222,66
2014-07-29,72.27777778,41
2014-07-03,97.05555556,25
2014-07-30,101.8888889,30
2014-07-31,76.22222222,29
2014-07-04,94.11111111,19
2014-07-05,95.05555556,35
2014-07-06,105,27
2014-07-07,112.7777778,35
2014-07-08,104.4444444,32
2014-07-09,95.05555556,22
2014-08-01,71.72222222,18
2014-08-10,107.6666667,12
2014-08-11,93.22222222,26
2014-08-12,79.94444444,59
2014-08-13,79.77777778,67
2014-08-14,107.5555556,30
2014-08-15,106,35
2014-08-16,90.16666667,44
2014-08-17,71.38888889,43
2014-08-18,94.55555556,8
2014-08-19,114.6111111,15
2014-08-02,89.44444444,14
2014-08-20,120.0555556,34
2014-08-21,111.7777778,17
2014-08-22,114.6111111,62
2014-08-23,79.88888889,71
2014-08-24,84.44444444,61
2014-08-25,105.8888889,49
2014-08-26,108.2222222,13
2014-08-27,92,9
2014-08-28,99.33333333,19
2014-08-29,97.27777778,26
2014-08-03,119.4444444,9
2014-08-30,82.77777778,23
2014-08-31,91.16666667,26
2014-08-04,83.55555556,10
2014-08-05,74.44444444,47
2014-08-06,73.33333333,49
2014-08-07,83.05555556,43
2014-08-08,74.5,21
2014-08-09,79.27777778,22
2014-09-01,66.66666667,33
2014-09-10,86.16666667,29
2014-09-11,70.22222222,40
2014-09-12,80.5,42
2014-09-13,82.11111111,23
2014-09-14,72.94444444,16
2014-09-15,69.61111111,40
2014-09-16,60.44444444,37
2014-09-17,85.16666667,53
2014-09-18,104.2777778,23
2014-09-19,94.33333333,31
2014-09-02,59.16666667,23
2014-09-20,101.5,32
2014-09-21,113.4444444,32
2014-09-22,103,30
2014-09-23,103.6111111,26
2014-09-24,91.33333333,19
2014-09-25,107.8888889,22
2014-09-26,124.5,28
2014-09-27,115.7222222,34
2014-09-28,74.61111111,43
2014-09-29,61,50
2014-09-03,85.44444444,7
2014-09-30,87.11111111,24
2014-09-04,102.8888889,16
2014-09-05,106,28
2014-09-06,109.7777778,37
2014-09-07,108.2222222,48
2014-09-08,94.5,54
2014-09-09,93.72222222,56
2015-01-01,NA,32
2015-01-10,164.6666667,50
2015-01-11,84.5,49
2015-01-12,99.77777778,62
2015-01-13,116.9444444,72
2015-01-14,191.7777778,64
2015-01-15,189.8333333,77
2015-01-16,99.44444444,39
2015-01-17,127.8333333,36
2015-01-18,117.2777778,64
2015-01-19,108.0555556,52
2015-01-02,138.7777778,43
2015-01-20,113.7777778,64
2015-01-21,96.88888889,50
2015-01-22,131.6111111,46
2015-01-23,172.6111111,57
2015-01-24,112.0555556,67
2015-01-25,124.8333333,44
2015-01-26,59.88888889,54
2015-01-27,69.88888889,50
2015-01-28,89.33333333,56
2015-01-29,93.61111111,43
2015-01-03,223.1111111,48
2015-01-30,88.16666667,46
2015-01-31,104.8333333,34
2015-01-04,234.1111111,71
2015-01-05,76.22222222,40
2015-01-06,98.38888889,39
2015-01-07,163.7222222,47
2015-01-08,263.9444444,53
2015-01-09,250.7777778,44
2015-10-01,114.9444444,32
2015-10-10,83.88888889,18
2015-10-11,100.8333333,19
2015-10-12,114.6111111,30
2015-10-13,165.0555556,53
2015-10-14,165.9444444,62
2015-10-15,201.0555556,73
2015-10-16,156.3333333,64
2015-10-17,130.8888889,71
2015-10-18,109.5,87
2015-10-19,147.6666667,89
2015-10-02,162.3333333,45
2015-10-20,127.7222222,97
2015-10-21,101.6111111,78
2015-10-22,123.3333333,55
2015-10-23,130.2222222,38
2015-10-24,74.16666667,33
2015-10-25,76.22222222,37
2015-10-26,88.94444444,37
2015-10-27,103.4444444,34
2015-10-28,76.5,25
2015-10-29,73.22222222,32
2015-10-03,176.7222222,30
2015-10-30,93.55555556,32
2015-10-31,93.16666667,45
2015-10-04,149.4444444,32
2015-10-05,131.7777778,35
2015-10-06,87.05555556,47
2015-10-07,70.88888889,59
2015-10-08,91.83333333,36
2015-10-09,72.61111111,26
2015-11-01,129.8888889,56
2015-11-10,140.6111111,45
2015-11-11,157.9444444,17
2015-11-12,104.6666667,15
2015-11-13,99.27777778,12
2015-11-14,130.0555556,21
2015-11-15,88,31
2015-11-16,79.11111111,19
2015-11-17,63.55555556,12
2015-11-18,91.38888889,16
2015-11-19,114.6111111,38
2015-11-02,127.3888889,71
2015-11-20,91.11111111,52
2015-11-21,40.38888889,33
2015-11-22,44.83333333,9
2015-11-23,44.77777778,27
2015-11-24,69.77777778,13
2015-11-25,65.66666667,37
2015-11-26,89.77777778,45
2015-11-27,130.8888889,49
2015-11-28,195.4444444,44
2015-11-29,269.2222222,49
2015-11-03,111.8888889,81
2015-11-30,205.7222222,61
2015-11-04,116.5555556,76
2015-11-05,42.05555556,54
2015-11-06,48.61111111,12
2015-11-07,82,5
2015-11-08,102.2222222,12
2015-11-09,118.0555556,51
2015-12-01,128.1666667,57
2015-12-10,95.83333333,36
2015-12-11,105.5,31
2015-12-12,157.7777778,44
2015-12-13,184.8888889,50
2015-12-14,135.2222222,59
2015-12-15,65.05555556,32
