"","¿œ¿⁄","pm10"
"266",2019-09-23,26
"267",2019-09-24,37
"268",2019-09-25,33
"269",2019-09-26,23
"270",2019-09-27,31
"271",2019-09-28,42
"272",2019-09-29,55
"273",2019-09-30,48
"274",2019-10-01,25
"275",2019-10-02,9
"276",2019-10-03,30
"277",2019-10-04,43
"278",2019-10-05,12
"279",2019-10-06,11
"280",2019-10-07,25
"281",2019-10-08,26
"282",2019-10-09,33
"283",2019-10-10,39
"284",2019-10-11,29
"285",2019-10-12,24
"286",2019-10-13,39
"287",2019-10-14,26
"288",2019-10-15,34
"289",2019-10-16,33
"290",2019-10-17,19
"291",2019-10-18,22
"292",2019-10-19,41
"293",2019-10-20,45
"294",2019-10-21,40
"295",2019-10-22,23
"296",2019-10-23,29
"297",2019-10-24,25
"298",2019-10-25,24
"299",2019-10-26,26
"300",2019-10-27,34
"301",2019-10-28,78
"302",2019-10-29,28
"303",2019-10-30,69
"304",2019-10-31,82
"305",2019-11-01,64
"306",2019-11-02,49
"307",2019-11-03,13
"308",2019-11-04,35
"309",2019-11-05,50
"310",2019-11-06,50
"311",2019-11-07,45
"312",2019-11-08,39
"313",2019-11-09,32
"314",2019-11-10,21
"315",2019-11-11,32
"316",2019-11-12,30
"317",2019-11-13,19
"318",2019-11-14,25
"319",2019-11-15,36
"320",2019-11-16,28
"321",2019-11-17,61
"322",2019-11-18,33
"323",2019-11-19,24
"324",2019-11-20,41
"325",2019-11-21,50
"326",2019-11-22,36
"327",2019-11-23,32
"328",2019-11-24,29
"329",2019-11-25,27
"330",2019-11-26,41
"331",2019-11-27,41
"332",2019-11-28,45
"333",2019-11-29,47
"334",2019-11-30,43
"335",2019-12-01,25
"336",2019-12-02,32
"337",2019-12-03,33
"338",2019-12-04,25
"339",2019-12-05,34
"340",2019-12-06,49
"341",2019-12-07,56
"342",2019-12-08,63
"343",2019-12-09,84
"344",2019-12-10,68
"345",2019-12-11,20
"346",2019-12-12,27
"347",2019-12-13,41
"348",2019-12-14,39
"349",2019-12-15,43
"350",2019-12-16,31
"351",2019-12-17,42
"352",2019-12-18,29
"353",2019-12-19,32
"354",2019-12-20,38
"355",2019-12-21,60
