"","월","요일","sum","d_label"
"85","202001","월",38355816.9639856,"202001(월)"
"86","202001","화",40938896.5673387,"202001(화)"
"87","202001","수",49758321.9213691,"202001(수)"
"88","202001","목",52077736.1750469,"202001(목)"
"89","202001","금",50680503.5556366,"202001(금)"
"90","202001","토",38568619.3367635,"202001(토)"
"91","202001","일",33393638.2642532,"202001(일)"
"92","202002","월",38804608.6323574,"202002(월)"
"93","202002","화",39684457.5408847,"202002(화)"
"94","202002","수",39460054.2281711,"202002(수)"
"95","202002","목",40393560.7171651,"202002(목)"
"96","202002","금",41034259.2188626,"202002(금)"
"97","202002","토",45786829.3513627,"202002(토)"
"98","202002","일",30340328.3719675,"202002(일)"
"99","202003","월",49157867.5623538,"202003(월)"
"100","202003","화",49292271.3089786,"202003(화)"
"101","202003","수",39983068.3722777,"202003(수)"
"102","202003","목",39823906.7658226,"202003(목)"
"103","202003","금",41016125.637118,"202003(금)"
"104","202003","토",35987876.5078791,"202003(토)"
"105","202003","일",35615021.6951131,"202003(일)"
