"","일자","교통량합계"
"75",20180316,11605972.6413432
"76",20180317,11086702.0316343
"77",20180318,9787414.03321705
"78",20180319,11025195.8214927
"79",20180320,11444528.553801
"80",20180321,11183199.4563456
"81",20180322,11604759.1143609
"82",20180323,11765991.0978815
"83",20180324,11242168.7771942
"84",20180325,9913150.46463473
"85",20180326,11180193.6435606
"86",20180327,11483897.925841
"87",20180328,11549835.7865654
"88",20180329,11534995.1463774
"89",20180330,11772766.6261327
"90",20180331,11207796.7327714
"91",20180401,9834908.5565783
"92",20180402,11114917.6718208
"93",20180403,11300650.7997559
"94",20180404,11370186.9807779
"95",20180405,11037552.0749637
"96",20180406,11670143.0030825
"97",20180407,11226066.0553808
"98",20180408,9690938.14461164
"99",20180409,11215870.4060136
"100",20180410,11400929.7037039
"101",20180411,11512193.7334972
"102",20180412,11688389.6161383
"103",20180413,11781548.9870011
"104",20180414,10857173.0321763
"105",20180415,10034040.5162131
"106",20180416,11518261.9766181
"107",20180417,11571084.494414
"108",20180418,11554571.491429
"109",20180419,11569235.1111569
"110",20180420,11762741.8393027
"111",20180421,11365608.547547
"112",20180422,9635191.46959046
"113",20180423,10590705.5126975
"114",20180424,11410370.8971508
"115",20180425,11656132.1314774
"116",20180426,11758276.6852913
"117",20180427,11855768.6758559
"118",20180428,11846971.3722917
"119",20180429,10208666.876919
"120",20180430,11524059.9646843
"121",20180501,10611287.7283254
"122",20180502,11003588.3438686
"123",20180503,11395208.0251338
"124",20180504,11910525.3661557
"125",20180505,10984504.5117487
"126",20180506,9814677.55916702
"127",20180507,10480665.2437605
"128",20180508,11564801.4278831
"129",20180509,11583579.3629271
"130",20180510,11654977.6944219
"131",20180511,11830380.1383819
"132",20180512,10629994.9753625
"133",20180513,10008546.8065484
"134",20180514,11313337.1751314
"135",20180515,11585959.1241992
"136",20180516,10862563.7838182
"137",20180517,10867944.2438951
"138",20180518,11526067.2514699
"139",20180519,11415984.228997
"140",20180520,10303960.5422735
"141",20180521,11630327.5291848
"142",20180522,10288223.8710552
"143",20180523,11518149.7491208
"144",20180524,11677233.0964632
"145",20180525,11907087.7201304
"146",20180526,11406963.1649823
"147",20180527,10062039.5465868
"148",20180528,11427577.4724856
"149",20180529,11562720.7324191
"150",20180530,11642530.5169699
"151",20180531,11640427.3603045
"152",20180601,11857739.87125
"153",20180602,11378513.5268113
"154",20180603,9952152.77631326
"155",20180604,11370746.4065383
"156",20180605,11752000.6721984
"157",20180606,10418663.9124461
"158",20180607,11524981.4173062
"159",20180608,11764204.7553548
"160",20180609,11240669.1827159
"161",20180610,9883298.29142474
"162",20180611,11365532.5788675
"163",20180612,11653268.889877
"164",20180613,10567144.8817283
"165",20180614,11465719.49379
"166",20180615,11822994.792296
"167",20180616,11379198.711704
"168",20180617,10000806.7516524
"169",20180618,11183953.3162722
"170",20180619,11544037.9641384
"171",20180620,11611748.4038706
"172",20180621,11711039.4735753
"173",20180622,11772133.6350426
"174",20180623,11368581.4375465
"175",20180624,9988418.72049651
"176",20180625,11471100.5581003
"177",20180626,11122602.4041506
"178",20180627,11521741.174327
"179",20180628,11598021.8276895
"180",20180629,11691467.2088448
