"","일자","교통량"
"92",20190402,10639953.4162825
"93",20190403,10677844.3446107
"94",20190404,10821327.6022633
"95",20190405,10916114.7090831
"96",20190406,10241721.4816951
"97",20190407,9225423.55007636
"98",20190408,10633161.1053821
"99",20190409,10721103.3110208
"100",20190410,10668047.1280325
"101",20190411,10930265.4368689
"102",20190412,11150125.347131
"103",20190413,10686859.8841245
"104",20190414,8926732.78345715
"105",20190415,10792087.1735448
"106",20190416,10933281.585266
"107",20190417,10950631.3672856
"108",20190418,10877889.6062637
"109",20190419,11112663.727373
"110",20190420,10518494.1815836
"111",20190421,9223984.60109475
"112",20190422,10712564.7995709
"113",20190423,10818577.2878487
"114",20190424,10743524.2135314
"115",20190425,10661084.2026267
"116",20190426,10862492.6477081
"117",20190427,10584823.015613
"118",20190428,9290230.284971
"119",20190429,10653297.106075
"120",20190430,10953464.8981124
"121",20190501,9704027.8857098
"122",20190502,10739745.0293243
"123",20190503,11011833.4864577
"124",20190504,10360717.2511535
"125",20190505,9195054.40718863
"126",20190506,9429395.45982991
"127",20190507,10658152.183777
"128",20190508,10832364.0542091
"129",20190509,10733730.9877803
"130",20190510,11004449.7606826
"131",20190511,10469939.5935091
"132",20190512,9203865.28983633
"133",20190513,10537003.8188426
"134",20190514,10750650.8325685
"135",20190515,10745286.6853662
"136",20190516,10837986.6285464
"137",20190517,10939225.552291
"138",20190518,10402618.7261337
"139",20190519,8732382.028461
"140",20190520,10459119.8814119
"141",20190521,10716108.6196605
"142",20190522,10699011.7948908
"143",20190523,10857493.7815255
"144",20190524,11048920.4559482
"145",20190525,10494288.8288315
"146",20190526,9290966.13770377
"147",20190527,9857545.82321245
"148",20190528,10796592.47926
"149",20190529,10812262.1433453
"150",20190530,10823102.0728103
"151",20190531,11003281.2952816
"152",20190601,10335047.3051162
"153",20190602,9080208.85346102
"154",20190603,10463884.4212438
"155",20190604,10741485.5834741
"156",20190605,10940849.8857098
"157",20190606,9419184.32273276
"158",20190607,10213298.912264
"159",20190608,10168089.6943691
"160",20190609,8773360.72217461
"161",20190610,10361965.9246489
"162",20190611,10664266.8857098
"163",20190612,10621479.9312567
"164",20190613,10728254.2350401
"165",20190614,10995034.6882238
"166",20190615,10287546.717909
