"","¿œ¿⁄","pm10"
"266",2018-09-23,16
"267",2018-09-24,15
"268",2018-09-25,8
"269",2018-09-26,9
"270",2018-09-27,14
"271",2018-09-28,16
"272",2018-09-29,22
"273",2018-09-30,18
"274",2018-10-01,28
"275",2018-10-02,29
"276",2018-10-03,23
"277",2018-10-04,11
"278",2018-10-05,7
"279",2018-10-06,29
"280",2018-10-07,24
"281",2018-10-08,29
"282",2018-10-09,22
"283",2018-10-10,19
"284",2018-10-11,26
"285",2018-10-12,35
"286",2018-10-13,40
"287",2018-10-14,61
"288",2018-10-15,53
"289",2018-10-16,40
"290",2018-10-17,16
"291",2018-10-18,20
"292",2018-10-19,43
"293",2018-10-20,41
"294",2018-10-21,53
"295",2018-10-22,52
"296",2018-10-23,48
"297",2018-10-24,43
"298",2018-10-25,40
"299",2018-10-26,30
"300",2018-10-27,15
"301",2018-10-28,18
"302",2018-10-29,23
"303",2018-10-30,23
"304",2018-10-31,38
"305",2018-11-01,48
"306",2018-11-02,59
"307",2018-11-03,48
"308",2018-11-04,63
"309",2018-11-05,88
"310",2018-11-06,64
"311",2018-11-07,9
"312",2018-11-08,40
"313",2018-11-09,71
"314",2018-11-10,66
"315",2018-11-11,33
"316",2018-11-12,45
"317",2018-11-13,38
"318",2018-11-14,54
"319",2018-11-15,60
"320",2018-11-16,36
"321",2018-11-17,41
"322",2018-11-18,60
"323",2018-11-19,50
"324",2018-11-20,38
"325",2018-11-21,24
"326",2018-11-22,24
"327",2018-11-23,24
"328",2018-11-24,47
"329",2018-11-25,62
"330",2018-11-26,97
"331",2018-11-27,100
"332",2018-11-28,71
"333",2018-11-29,60
"334",2018-11-30,51
"335",2018-12-01,54
"336",2018-12-02,47
"337",2018-12-03,37
"338",2018-12-04,32
"339",2018-12-05,41
"340",2018-12-06,26
"341",2018-12-07,26
"342",2018-12-08,24
"343",2018-12-09,36
"344",2018-12-10,44
"345",2018-12-11,48
"346",2018-12-12,42
"347",2018-12-13,35
"348",2018-12-14,58
"349",2018-12-15,56
"350",2018-12-16,67
"351",2018-12-17,52
"352",2018-12-18,56
"353",2018-12-19,62
"354",2018-12-20,72
"355",2018-12-21,78
"356",2018-12-22,54
"357",2018-12-23,25
"358",2018-12-24,39
"359",2018-12-25,52
"360",2018-12-26,30
"361",2018-12-27,40
"362",2018-12-28,43
"363",2018-12-29,36
"364",2018-12-30,NA
"365",2018-12-31,40
