"","date","china_average","seoul_average"
"149","2014/2/8",61.7222222222222,10
"150","2014/2/9",58.1666666666667,20
"151","2014/3/1",153.555555555556,80
"152","2014/3/10",130.833333333333,40
"153","2014/3/11",117.666666666667,50
"154","2014/3/12",94.6111111111111,40
"155","2014/3/13",115.333333333333,49
"156","2014/3/14",138.5,60
"157","2014/3/15",125,82
"158","2014/3/16",191.555555555556,81
"159","2014/3/17",261.777777777778,62
"160","2014/3/18",95.6111111111111,91
"161","2014/3/19",84.6666666666667,93
"162","2014/3/2",133.611111111111,30
"163","2014/3/20",99.4444444444444,58
"164","2014/3/21",113.5,33
"165","2014/3/22",139.388888888889,60
"166","2014/3/23",131.5,73
"167","2014/3/24",161.055555555556,58
"168","2014/3/25",201,57
"169","2014/3/26",149.166666666667,63
"170","2014/3/27",113.777777777778,76
"171","2014/3/28",142.222222222222,93
"172","2014/3/29",132.666666666667,53
"173","2014/3/3",98.1666666666667,58
"174","2014/3/30",155.722222222222,38
"175","2014/3/31",117.611111111111,61
"176","2014/3/4",98.2777777777778,76
"177","2014/3/5",106.944444444444,38
"178","2014/3/6",105.777777777778,34
"179","2014/3/7",123.333333333333,31
"180","2014/3/8",150.833333333333,43
"181","2014/3/9",135.944444444444,39
"182","2014/4/1",126.5,68
"183","2014/4/10",134.722222222222,58
"184","2014/4/11",116.555555555556,64
"185","2014/4/12",154.666666666667,69
"186","2014/4/13",134,69
"187","2014/4/14",161.666666666667,66
"188","2014/4/15",127.888888888889,69
"189","2014/4/16",115.5,113
"190","2014/4/17",122.5,79
"191","2014/4/18",88.0555555555556,64
"192","2014/4/19",133.222222222222,48
"193","2014/4/2",121.333333333333,63
"194","2014/4/20",151.222222222222,42
"195","2014/4/21",150.555555555556,58
"196","2014/4/22",118.388888888889,61
"197","2014/4/23",97.6111111111111,73
"198","2014/4/24",96.4444444444444,93
"199","2014/4/25",60,65
"200","2014/4/26",70.2222222222222,56
"201","2014/4/27",83.5,29
"202","2014/4/28",122.611111111111,13
"203","2014/4/29",127.666666666667,14
"204","2014/4/3",138.388888888889,61
"205","2014/4/30",133.5,27
"206","2014/4/4",98.0555555555556,22
"207","2014/4/5",101.111111111111,45
"208","2014/4/6",116.111111111111,38
"209","2014/4/7",141.777777777778,63
"210","2014/4/8",144.888888888889,52
"211","2014/4/9",151.166666666667,65
"212","2014/5/1",120.777777777778,52
"213","2014/5/10",53.3888888888889,39
"214","2014/5/11",90.7777777777778,32
"215","2014/5/12",105.944444444444,39
"216","2014/5/13",117.611111111111,77
"217","2014/5/14",115.888888888889,71
"218","2014/5/15",119.166666666667,49
"219","2014/5/16",123.777777777778,53
"220","2014/5/17",103.555555555556,56
"221","2014/5/18",115,56
"222","2014/5/19",130.555555555556,60
"223","2014/5/2",104.555555555556,71
"224","2014/5/20",138.888888888889,66
"225","2014/5/21",149.111111111111,59
"226","2014/5/22",113.5,46
"227","2014/5/23",71.7777777777778,65
"228","2014/5/24",119.444444444444,63
"229","2014/5/25",133.611111111111,53
"230","2014/5/26",161.5,74
"231","2014/5/27",123.055555555556,114
"232","2014/5/28",136.888888888889,123
"233","2014/5/29",177.666666666667,103
"234","2014/5/3",97.0555555555556,28
"235","2014/5/30",187.388888888889,69
"236","2014/5/31",88.2222222222222,91
"237","2014/5/4",98.7777777777778,40
"238","2014/5/5",122.277777777778,37
"239","2014/5/6",110.222222222222,40
"240","2014/5/7",106.888888888889,47
"241","2014/5/8",97.4444444444444,36
"242","2014/5/9",78.2777777777778,46
"243","2014/6/1",57.9444444444444,79
"244","2014/6/10",94.0555555555556,35
"245","2014/6/11",99.7222222222222,22
"246","2014/6/12",126.222222222222,27
"247","2014/6/13",141.5,58
