"","year","month","re_china_average","re_seoul_average"
"190","2014"," 4",88.0555555555556,64
"191","2014"," 4",133.222222222222,48
"192","2014"," 4",121.333333333333,63
"193","2014"," 4",151.222222222222,42
"194","2014"," 4",150.555555555556,58
"195","2014"," 4",118.388888888889,61
"196","2014"," 4",97.6111111111111,73
"197","2014"," 4",96.4444444444444,93
"198","2014"," 4",60,65
"199","2014"," 4",70.2222222222222,56
"200","2014"," 4",83.5,29
"201","2014"," 4",122.611111111111,13
"202","2014"," 4",127.666666666667,14
"203","2014"," 4",138.388888888889,61
"204","2014"," 4",133.5,27
"205","2014"," 4",98.0555555555556,22
"206","2014"," 4",101.111111111111,45
"207","2014"," 4",116.111111111111,38
"208","2014"," 4",141.777777777778,63
"209","2014"," 4",144.888888888889,52
"210","2014"," 4",151.166666666667,65
"211","2014"," 5",120.777777777778,52
"212","2014"," 5",53.3888888888889,39
"213","2014"," 5",90.7777777777778,32
"214","2014"," 5",105.944444444444,39
"215","2014"," 5",117.611111111111,77
"216","2014"," 5",115.888888888889,71
"217","2014"," 5",119.166666666667,49
"218","2014"," 5",123.777777777778,53
"219","2014"," 5",103.555555555556,56
"220","2014"," 5",115,56
"221","2014"," 5",130.555555555556,60
"222","2014"," 5",104.555555555556,71
"223","2014"," 5",138.888888888889,66
"224","2014"," 5",149.111111111111,59
"225","2014"," 5",113.5,46
"226","2014"," 5",71.7777777777778,65
"227","2014"," 5",119.444444444444,63
"228","2014"," 5",133.611111111111,53
"229","2014"," 5",161.5,74
"233","2014"," 5",97.0555555555556,28
"235","2014"," 5",88.2222222222222,91
"236","2014"," 5",98.7777777777778,40
"237","2014"," 5",122.277777777778,37
"238","2014"," 5",110.222222222222,40
"239","2014"," 5",106.888888888889,47
"240","2014"," 5",97.4444444444444,36
"241","2014"," 5",78.2777777777778,46
"242","2014"," 6",57.9444444444444,79
"243","2014"," 6",94.0555555555556,35
"244","2014"," 6",99.7222222222222,22
"245","2014"," 6",126.222222222222,27
"246","2014"," 6",141.5,58
"247","2014"," 6",110.666666666667,42
"248","2014"," 6",110.888888888889,44
"249","2014"," 6",85.2777777777778,37
"250","2014"," 6",84,68
"251","2014"," 6",111,51
"252","2014"," 6",72.3333333333333,53
"253","2014"," 6",67.7222222222222,77
"254","2014"," 6",77.4444444444444,56
"255","2014"," 6",100.944444444444,27
"256","2014"," 6",96.7222222222222,22
"257","2014"," 6",108.388888888889,33
"258","2014"," 6",116.111111111111,45
"259","2014"," 6",97.5555555555556,55
"260","2014"," 6",91.1666666666667,52
"261","2014"," 6",94.1666666666667,37
"262","2014"," 6",118.722222222222,40
"263","2014"," 6",107.722222222222,35
"264","2014"," 6",89.3888888888889,30
"265","2014"," 6",124.388888888889,36
"266","2014"," 6",96.1666666666667,23
"267","2014"," 6",126,21
"268","2014"," 6",77.3333333333333,30
"269","2014"," 6",103.555555555556,39
"270","2014"," 6",97,35
"271","2014"," 6",99.4444444444444,44
"272","2014"," 7",83.5555555555556,48
"273","2014"," 7",110.388888888889,33
"274","2014"," 7",120.333333333333,59
"275","2014"," 7",98.5555555555556,67
"276","2014"," 7",104.5,57
"277","2014"," 7",85.6111111111111,70
"278","2014"," 7",97.6111111111111,79
"279","2014"," 7",92.7777777777778,55
"280","2014"," 7",85.1666666666667,24
"281","2014"," 7",86.7777777777778,16
"282","2014"," 7",83.1666666666667,47
"283","2014"," 7",86.2222222222222,70
"284","2014"," 7",98.1666666666667,56
"285","2014"," 7",98.5,58
"286","2014"," 7",83.1111111111111,19
"287","2014"," 7",100.277777777778,18
"288","2014"," 7",52.1111111111111,12
"289","2014"," 7",98.5555555555556,18
"290","2014"," 7",114.944444444444,32
"291","2014"," 7",116.722222222222,72
"292","2014"," 7",98.7222222222222,66
"293","2014"," 7",72.2777777777778,41
"294","2014"," 7",97.0555555555556,25
"295","2014"," 7",101.888888888889,30
"296","2014"," 7",76.2222222222222,29
"297","2014"," 7",94.1111111111111,19
"298","2014"," 7",95.0555555555556,35
"299","2014"," 7",105,27
"300","2014"," 7",112.777777777778,35
"301","2014"," 7",104.444444444444,32
"302","2014"," 7",95.0555555555556,22
"303","2014"," 8",71.7222222222222,18
"304","2014"," 8",107.666666666667,12
"305","2014"," 8",93.2222222222222,26
"306","2014"," 8",79.9444444444444,59
"307","2014"," 8",79.7777777777778,67
"308","2014"," 8",107.555555555556,30
"309","2014"," 8",106,35
"310","2014"," 8",90.1666666666667,44
"311","2014"," 8",71.3888888888889,43
"312","2014"," 8",94.5555555555556,8
"313","2014"," 8",114.611111111111,15
"314","2014"," 8",89.4444444444444,14
"315","2014"," 8",120.055555555556,34
"316","2014"," 8",111.777777777778,17
