"","month","re_china_average","re_seoul_average"
"1"," 1",108.623931623932,58
"2"," 2",104.263888888889,45.0833333333333
"3"," 3",123.740079365079,57.1428571428571
"4"," 4",121.528735632184,54.9655172413793
"5"," 5",110.666666666667,53.5555555555556
"6"," 6",99.4518518518519,41.7666666666667
"7"," 7",95.1505376344086,41
"8"," 8",92.9390681003584,31.6774193548387
"9"," 9",90.5296296296296,32.5333333333333
"10","10",110.355555555556,38.2333333333333
"11","11",128.03373015873,47.2142857142857
"12","12",127.091111111111,41.52
