"","month","re_china_average","re_seoul_average"
"1"," 1",104.880952380952,56.9285714285714
"2"," 2",98.7400793650794,57.8214285714286
"3"," 3",82.9246031746032,54.2857142857143
"4"," 4",77.2854406130268,43.7241379310345
"5"," 5",76.8709677419355,54.1290322580645
"6"," 6",61.1574074074074,30.1333333333333
"7"," 7",55.5448028673835,26.0967741935484
"8"," 8",45.6111111111111,24.1290322580645
"9"," 9",62.9833333333333,22.0666666666667
"10","10",80.287037037037,32.9666666666667
"11","11",84.1833333333333,37.2666666666667
"12","12",87.462962962963,43.9666666666667
