"","month","re_china_average","re_seoul_average"
"1"," 1",86.8440860215054,52.2258064516129
"2"," 2",87.2519841269841,55.3214285714286
"3"," 3",88.1277777777778,51.1666666666667
"4"," 4",91.7452107279694,52.6551724137931
"5"," 5",77.9802867383513,45.0322580645161
"6"," 6",67.2666666666667,40.5
"7"," 7",61.0089605734767,27.8387096774194
"8"," 8",58.7150537634409,24.4838709677419
"9"," 9",69.7166666666667,22.5333333333333
"10","10",85.0197132616487,31.5806451612903
"11","11",95.0064102564103,48.1538461538462
"12","12",97.4555555555555,44.4
