"","year","group_c","group_s"
"1","2014",108.879175187457,44.3711656441718
"2","2015",97.2323232323232,42.5848484848485
"3","2016",90.3079178885631,48.7390029325513
"4","2017",90.5932267884323,47.1780821917808
"5","2018",80.1883923029174,41.0670391061453
"6","2019",76.0269975031211,39.9662921348315
"7","2020",74.2791783380019,45.1932773109244
