"","month","re_china_average","re_seoul_average"
"1"," 1",103.849537037037,49.625
"2"," 2",100.818007662835,48.5862068965517
"3"," 3",111.706349206349,65.5714285714286
"4"," 4",107.071759259259,59.4166666666667
"5"," 5",84.1072796934866,56.4137931034483
"6"," 6",73.8296296296296,47.9333333333333
"7"," 7",71.8046594982079,36.5161290322581
"8"," 8",65.7508960573477,39.6774193548387
"9"," 9",84.9333333333333,42.0666666666667
"10","10",76.9874551971326,40.4516129032258
"11","11",106.881481481481,54.7666666666667
"12","12",109.25462962963,48.4583333333333
