"","month","re_china_average","re_seoul_average"
"1"," 1",110.546296296296,50.1666666666667
"2"," 2",113.970085470085,60.3076923076923
"3"," 3",105.544444444444,55.24
"4"," 4",101.14367816092,45.4137931034483
"5"," 5",96.1523297491039,47.8387096774194
"6"," 6",90.4240740740741,37.1666666666667
"7"," 7",84.4838709677419,32.0322580645161
"8"," 8",77.9408602150538,35.3548387096774
"9"," 9",81.0666666666667,30.4333333333333
"10","10",110.955938697318,46.4827586206897
"11","11",93.522633744856,33.6666666666667
"12","12",117.359477124183,42.7058823529412
