date, pm25, pm10, o3, no2, so2, co,country
2020/4/1, 35, 35, 35, 10, 1, 2,beijing
2020/4/2, 60, 39, 40, 11, 1, 2,beijing
2020/4/3, 65, 119, 38, 5, 1, 2,beijing
2020/4/4, 84, 68, 43, 14, 2, 4,beijing
2020/4/5, 86, 93, 55, 26, 3, 5,beijing
2020/4/6, 152, 83, 37, 21, 3, 5,beijing
2020/4/7, 126, 53, 33, 15, 3, 4,beijing
2020/4/8, 76, 46, 38, 8, 1, 4,beijing
2020/4/9, 103, 47, 53, 11, , 3,beijing
2020/4/10, 117, 39, 43, 9, , 3,beijing
2020/4/11, 79, 45, 44, 6, , 1,beijing
2020/4/12, 69, 60, 44, 17, 1, 4,beijing
2020/4/13, 88, 81, 82, 23, 3, 5,beijing
2020/4/14, 153, 74, 77, 13, 2, 4,beijing
2020/4/15, 151, 66, 43, 5, , 3,beijing
2020/4/16, 83, 40, 58, 6, , 3,beijing
2020/4/17, 80, 43, 56, 10, , 2,beijing
2020/4/18, 100, 49, 74, 8, , 3,beijing
2020/4/19, 122, 30, 38, 2, , 1,beijing
2020/4/20, 39, 33, 35, 2, , 1,beijing
2020/4/21, 40, 22, 36, 2, , 1,beijing
2020/4/22, 36, 20, 36, 3, , 1,beijing
2020/4/23, 35, 98, 41, 6, , 1,beijing
2020/4/24, 65, 53, 39, 3, , 1,beijing
2020/4/25, 55, 32, 40, 11, , 2,beijing
2020/4/26, 94, 60, 58, 14, 2, 12,beijing
2020/4/27, 146, 82, 100, 18, 3, 6,beijing
2020/4/28, 157, 82, 100, 11, 3, 5,beijing
2020/4/29, 143, 82, , , , ,beijing
2020/3/1, 72, 25, 29, 14, 2, 5,beijing
2020/3/2, 80, 15, 25, 6, 1, 4,beijing
2020/3/3, 99, 15, 31, 5, 1, 2,beijing
2020/3/4, 47, 44, 35, 12, 2, 4,beijing
2020/3/5, 110, 67, 27, 23, 3, 7,beijing
2020/3/6, 168, 43, 39, 10, 2, 6,beijing
2020/3/7, 135, 43, 22, 13, 1, 9,beijing
2020/3/8, 171, 28, 28, 12, 1, 7,beijing
2020/3/9, 129, 30, 32, 8, 1, 2,beijing
2020/3/10, 52, 45, 25, 22, 2, 4,beijing
2020/3/11, 92, 38, 34, 14, 2, 5,beijing
2020/3/12, 74, 22, 32, 6, , 2,beijing
2020/3/13, 42, 35, 35, 5, 1, 1,beijing
2020/3/14, 36, 32, 37, 4, , 1,beijing
2020/3/15, 34, 60, 32, 10, 1, 3,beijing
2020/3/16, 87, 55, 42, 17, 1, 5,beijing
2020/3/17, 100, 108, 35, 18, 2, 6,beijing
2020/3/18, 119, 47, 37, 3, , 2,beijing
2020/3/19, 39, 60, 34, 17, 2, 3,beijing
2020/3/20, 94, 73, 38, 10, 4, 3,beijing
2020/3/21, 86, 60, 47, 10, 2, 3,beijing
2020/3/22, 98, 58, 36, 16, 2, 3,beijing
2020/3/23, 102, 57, 40, 18, 7, 8,beijing
2020/3/24, 121, 73, 54, 27, 6, 9,beijing
2020/3/25, 192, 25, 31, 4, 1, 3,beijing
2020/3/26, 39, 25, 33, 4, 1, 2,beijing
2020/3/27, 17, 26, 32, 8, , 1,beijing
2020/3/28, 37, 63, 42, 17, 3, 4,beijing
2020/3/29, 122, 69, 42, 16, 3, 6,beijing
2020/3/30, 156, 62, 45, 12, 2, 3,beijing
2020/3/31, 151, 21, 35, 4, , 1,beijing
2020/2/1, 30, 25, 28, 5, 1, 3,beijing
2020/2/2, 85, 24, 29, 6, 1, 2,beijing
2020/2/3, 79, 19, 29, 6, 1, 2,beijing
2020/2/4, 38, 33, 19, 10, 1, 6,beijing
2020/2/5, 87, 31, 17, 10, 2, 10,beijing
2020/2/6, 119, 2, 18, 16, 2, 10,beijing
2020/2/7, 160, 24, 31, 17, 3, 9,beijing
2020/2/8, 127, 24, 23, 23, 1, 13,beijing
2020/2/9, 193, 24, 35, 25, 2, 13,beijing
2020/2/10, 195, 24, 41, 28, 5, 23,beijing
2020/2/11, 244, 24, 50, 27, 3, 23,beijing
2020/2/12, 253, 24, 19, 27, 2, 21,beijing
2020/2/13, 261, 24, 26, 8, 1, 9,beijing
2020/2/14, 112, 11, 30, 2, 1, 2,beijing
2020/2/15, 29, 7, 32, 2, 1, 2,beijing
2020/2/16, 18, 12, 31, 5, 1, 2,beijing
2020/2/17, 27, 21, 29, 17, 1, 3,beijing
2020/2/18, 55, 32, 29, 20, 5, 10,beijing
2020/2/19, 126, 32, 29, 13, 4, 11,beijing
2020/2/20, 176, 84, 33, 12, 1, 7,beijing
2020/2/21, 135, 14, 35, 5, , 2,beijing
2020/2/22, 25, 47, 24, 19, 2, 5,beijing
2020/2/23, 110, 73, 25, 18, 5, 9,beijing
2020/2/24, 150, 60, 30, 11, 5, 8,beijing
2020/2/25, 127, 36, 37, 8, 3, 4,beijing
2020/2/26, 94, 31, 26, 11, 1, 4,beijing
2020/2/27, 79, 45, 35, 12, 1, 5,beijing
2020/2/28, 138, 45, 11, 15, 1, 12,beijing
2020/2/29, 167, 16, 31, 10, 1, 10,beijing
2020/1/1, 93, 64, 5, 31, 4, 11,beijing
2020/1/2, 132, 51, 9, 33, 4, 11,beijing
2020/1/3, 124, 45, 23, 27, 4, 9,beijing
2020/1/4, 98, 63, 5, 32, 5, 13,beijing
2020/1/5, 152, 21, 12, 25, 2, 9,beijing
2020/1/6, 149, 19, 24, 11, 2, 3,beijing
2020/1/7, 57, 24, 28, 14, 1, 4,beijing
2020/1/8, 63, 32, 16, 25, 3, 6,beijing
2020/1/9, 127, 33, 27, 19, 4, 5,beijing
2020/1/10, 83, 20, 23, 12, 1, 3,beijing
2020/1/11, 47, 27, 21, 17, 4, 4,beijing
2020/1/12, 67, 22, 27, 8, 2, 4,beijing
2020/1/13, 51, 26, 23, 15, 2, 3,beijing
2020/1/14, 62, 54, 12, 29, 4, 8,beijing
2020/1/15, 127, 48, 25, 24, 5, 9,beijing
2020/1/16, 107, 73, 10, 34, 8, 15,beijing
2020/1/17, 165, 119, 9, 34, 3, 21,beijing
2020/1/18, 251, 58, 28, 11, 1, 5,beijing
2020/1/19, 94, 26, 25, 8, 1, 3,beijing
2020/1/20, 40, 54, 20, 21, 4, 8,beijing
2020/1/21, 132, 60, 17, 26, 5, 11,beijing
2020/1/22, 158, 51, 31, 18, 4, 9,beijing
2020/1/23, 126, 62, 33, 8, 3, 6,beijing
2020/1/24, 154, 99, 31, 14, 5, 8,beijing
2020/1/25, 206, 108, 31, 21, 7, 16,beijing
2020/1/26, 231, 108, 33, 21, 8, 19,beijing
2020/1/27, 235, 108, 48, 21, 8, 20,beijing
2020/1/28, 245, 38, 34, 17, 5, 12,beijing
2020/1/29, 154, 50, 35, 15, 3, 8,beijing
2020/1/30, 133, 41, 33, 17, 3, 9,beijing
2020/1/31, 120, 14, 32, 4, 1, 3,beijing
2019/10/1, 128, 60, 82, 11, 2, 9,beijing
2019/10/2, 140, 69, 116, 14, 1, 8,beijing
2019/10/3, 148, 29, 25, 6, 1, 4,beijing
2019/10/4, 46, 16, 30, 8, 1, 2,beijing
2019/10/5, 31, 37, 20, 18, 1, 4,beijing
2019/10/6, 80, 54, 31, 18, 1, 6,beijing
2019/10/7, 127, 25, 27, 10, 1, 2,beijing
2019/10/8, 34, 55, 36, 21, 3, 5,beijing
2019/10/9, 94, 46, 24, 15, 1, 5,beijing
2019/10/10, 131, 50, 17, 21, 3, 7,beijing
2019/10/11, 114, 63, 7, 27, 12, 14,beijing
2019/10/12, 95, 49, 9, 21, 4, 9,beijing
2019/10/13, 80, 19, 23, 12, 1, 3,beijing
2019/10/14, 42, 33, 19, 18, 1, 4,beijing
2019/10/15, 66, 40, 14, 21, 1, 5,beijing
2019/10/16, 89, 52, 3, 25, 1, 8,beijing
2019/10/17, 154, 52, 26, 20, 1, 8,beijing
2019/10/18, 156, 67, 16, 33, 2, 13,beijing
2019/10/19, 201, 100, 25, 23, 1, 8,beijing
2019/10/20, 154, 46, 18, 21, 1, 5,beijing
2019/10/21, 63, 82, 19, 33, 2, 10,beijing
2019/10/22, 124, 93, 39, 37, 2, 11,beijing
2019/10/23, 166, 75, 17, 33, 1, 13,beijing
2019/10/24, 163, 19, 22, 11, 1, 4,beijing
2019/10/25, 71, 50, 16, 23, 2, 6,beijing
2019/10/26, 98, 69, 17, 28, 2, 8,beijing
2019/10/27, 145, 148, 25, 12, 1, 3,beijing
2019/10/28, 90, 71, 21, 26, 3, 6,beijing
2019/10/29, 104, 86, 10, 37, 3, 9,beijing
2019/10/30, 153, 72, 31, 33, 2, 12,beijing
2019/10/31, 121, 59, 18, 25, 4, 8,beijing
2019/11/1, 90, 46, 10, 25, 1, 6,beijing
2019/11/2, 82, 48, 14, 16, 3, 5,beijing
2019/11/3, 97, 59, 16, 24, 2, 9,beijing
2019/11/4, 139, 52, 18, 21, 2, 7,beijing
2019/11/5, 118, 62, 10, 30, 2, 7,beijing
2019/11/6, 119, 44, 18, 18, 2, 5,beijing
2019/11/7, 82, 66, 11, 29, 2, 8,beijing
2019/11/8, 121, 71, 13, 34, 2, 11,beijing
2019/11/9, 162, 77, 25, 12, 1, 5,beijing
2019/11/10, 99, 49, 22, 20, 1, 5,beijing
2019/11/11, 69, 73, 8, 36, 4, 9,beijing
2019/11/12, 143, 52, 25, 6, 1, 2,beijing
2019/11/13, 47, 53, 11, 25, 4, 7,beijing
2019/11/14, 87, 62, 10, 23, 3, 8,beijing
2019/11/15, 101, 67, 6, 24, 6, 13,beijing
2019/11/16, 135, 142, 22, 17, 4, 9,beijing
2019/11/17, 139, 76, 22, 8, 1, 3,beijing
2019/11/18, 71, 51, 23, 13, 1, 4,beijing
2019/11/19, 71, 91, 5, 36, 6, 10,beijing
2019/11/20, 156, 109, 2, 38, 7, 16,beijing
2019/11/21, 173, 117, 2, 45, 7, 24,beijing
2019/11/22, 198, 103, 16, 35, 5, 17,beijing
2019/11/23, 197, 30, 26, 5, 1, 3,beijing
2019/11/24, 42, 28, 13, 14, 2, 4,beijing
2019/11/25, 55, 66, 4, 30, 4, 8,beijing
2019/11/26, 125, 23, 22, 14, 2, 3,beijing
2019/11/27, 36, 67, 5, 30, 8, 9,beijing
2019/11/28, 125, 65, 4, 30, 5, 10,beijing
2019/11/29, 143, 22, 24, 15, 2, 6,beijing
2019/11/30, 121, 29, 24, 8, 2, 3,beijing
2019/12/1, 52, 24, 22, 11, 1, 3,beijing
2019/12/2, 43, 42, 27, 21, 2, 5,beijing
2019/12/3, 63, 31, 27, 18, 2, 3,beijing
2019/12/4, 53, 38, 24, 20, 3, 7,beijing
2019/12/5, 76, 64, 9, 29, 3, 9,beijing
2019/12/6, 131, 60, 12, 30, 3, 8,beijing
2019/12/7, 137, 104, 2, 37, 2, 16,beijing
2019/12/8, 212, 125, 4, 41, 1, 19,beijing
2019/12/9, 237, 90, 23, 26, 1, 15,beijing
2019/12/10, 154, 18, 23, 13, 1, 3,beijing
2019/12/11, 37, 35, 16, 22, 1, 7,beijing
