"","month","beijing_pm10","seoul_pm10"
"1",1,50.3870967741936,52.2258064516129
"2",2,59.9642857142857,55.3214285714286
"3",3,83.1428571428571,51.6428571428571
"4",4,82.25,53.6428571428571
