"","month","shandong_average","seoul_average"
"1",1,113.805555555556,50.1666666666667
"2",2,118.810256410256,60.3076923076923
"3",3,108.816,55.24
"4",4,103.163218390805,45.4137931034483
"5",5,98.6645161290323,47.8387096774194
"6",6,93.4777777777778,37.1666666666667
"7",7,86.5913978494624,32.0322580645161
"8",8,80.494623655914,35.3548387096774
"9",9,83.8555555555556,30.4333333333333
"10",10,113.338095238095,45.9285714285714
"11",11,94.9728395061728,33.6666666666667
"12",12,124.114814814815,43.3888888888889
