"","month","shandong_average","seoul_average"
"1",1,90.8430107526882,52.2258064516129
"2",2,91.0619047619048,55.3214285714286
"3",3,89.1577777777778,51.1666666666667
"4",4,93.6505747126437,52.6551724137931
"5",5,78.8602150537634,45.0322580645161
"6",6,69.2155555555556,40.5
"7",7,62.7161290322581,27.8387096774194
"8",8,61.0365591397849,24.4838709677419
"9",9,73.3777777777778,22.5333333333333
"10",10,89.589247311828,31.5806451612903
"11",11,99.3076923076923,48.1538461538462
"12",12,102.982222222222,44.4
