"¿œΩ√","º≠«≥ count"
2017-01-01,3
2017-01-02,17
2017-01-03,34
2017-01-04,21
2017-01-05,3
2017-01-06,10
2017-01-07,13
2017-01-08,19
2017-01-09,44
2017-01-10,43
2017-01-11,40
2017-01-12,36
2017-01-13,34
2017-01-14,40
2017-01-15,39
2017-01-16,18
2017-01-17,19
2017-01-18,23
2017-01-19,27
2017-01-20,35
2017-01-21,14
2017-01-22,47
2017-01-23,36
2017-01-24,38
2017-01-25,31
2017-01-26,1
2017-01-27,40
2017-01-28,5
2017-01-29,14
2017-01-30,40
2017-01-31,34
2017-02-01,37
2017-02-02,36
2017-02-03,29
2017-02-04,2
2017-02-05,22
2017-02-06,39
2017-02-07,24
2017-02-08,35
2017-02-09,45
2017-02-10,44
2017-02-11,36
2017-02-12,37
2017-02-13,26
2017-02-14,37
2017-02-15,15
2017-02-16,11
2017-02-17,43
2017-02-18,37
2017-02-19,5
2017-02-20,39
2017-02-21,24
2017-02-22,9
2017-02-23,43
2017-02-24,37
2017-02-25,25
2017-02-26,34
2017-02-27,32
2017-02-28,20
2017-03-01,11
2017-03-02,43
2017-03-03,20
2017-03-04,21
2017-03-05,34
2017-03-06,46
2017-03-07,43
2017-03-08,38
2017-03-09,30
2017-03-10,38
2017-03-11,21
2017-03-12,22
2017-03-13,33
2017-03-14,46
2017-03-15,25
2017-03-16,23
2017-03-17,31
2017-03-18,30
2017-03-19,16
2017-03-20,12
2017-03-21,40
2017-03-22,44
2017-03-23,32
2017-03-24,11
2017-03-25,16
2017-03-26,27
2017-03-27,34
2017-03-28,18
2017-03-29,28
2017-03-30,28
2017-03-31,8
2017-04-01,19
2017-04-02,17
2017-04-03,21
2017-04-04,19
2017-04-05,6
2017-04-06,30
2017-04-07,24
2017-04-08,31
2017-04-09,10
2017-04-10,3
2017-04-11,36
2017-04-12,33
2017-04-13,23
2017-04-14,17
2017-04-15,18
2017-04-16,NA
2017-04-17,15
2017-04-18,11
2017-04-19,44
2017-04-20,27
2017-04-21,29
2017-04-22,28
2017-04-23,29
2017-04-24,NA
2017-04-25,NA
2017-04-26,36
2017-04-27,36
2017-04-28,18
2017-04-29,22
2017-04-30,22
2017-05-01,19
2017-05-02,22
2017-05-03,28
2017-05-04,26
2017-05-05,35
2017-05-06,28
2017-05-07,31
2017-05-08,22
2017-05-09,15
2017-05-10,30
2017-05-11,14
2017-05-12,22
2017-05-13,7
2017-05-14,33
2017-05-15,36
2017-05-16,26
2017-05-17,34
2017-05-18,31
2017-05-19,34
2017-05-20,43
2017-05-21,41
2017-05-22,25
2017-05-23,27
2017-05-24,29
2017-05-25,32
2017-05-26,28
2017-05-27,33
2017-05-28,19
2017-05-29,24
2017-05-30,30
2017-05-31,24
2017-06-01,43
2017-06-02,38
2017-06-03,37
2017-06-04,38
2017-06-05,13
2017-06-06,0
2017-06-07,24
2017-06-08,36
2017-06-09,23
2017-06-10,38
2017-06-11,16
2017-06-12,14
2017-06-13,28
2017-06-14,42
2017-06-15,24
2017-06-16,17
2017-06-17,32
2017-06-18,38
2017-06-19,29
2017-06-20,21
2017-06-21,40
2017-06-22,40
2017-06-23,34
2017-06-24,20
2017-06-25,13
2017-06-26,1
2017-06-27,17
2017-06-28,23
2017-06-29,37
2017-06-30,39
2017-07-01,29
2017-07-02,26
2017-07-03,14
2017-07-04,30
2017-07-05,42
2017-07-06,10
2017-07-07,4
2017-07-08,23
2017-07-09,4
2017-07-11,22
2017-07-12,33
2017-07-13,24
2017-07-14,21
2017-07-15,24
2017-07-16,10
2017-07-17,23
2017-07-18,30
2017-07-19,29
2017-07-20,24
2017-07-21,24
2017-07-22,22
2017-07-23,11
2017-07-24,19
2017-07-25,3
2017-07-26,0
2017-07-27,4
2017-07-28,2
2017-07-29,0
2017-07-30,19
2017-07-31,7
2017-08-01,14
2017-08-02,9
2017-08-03,0
2017-08-04,4
2017-08-05,6
2017-08-06,16
2017-08-07,45
2017-08-08,35
2017-08-09,2
2017-08-10,0
2017-08-11,3
2017-08-12,3
2017-08-13,0
2017-08-14,0
2017-08-15,0
2017-08-16,0
2017-08-17,5
2017-08-18,21
2017-08-19,0
2017-08-20,0
2017-08-21,10
2017-08-22,12
2017-08-23,13
2017-08-24,26
2017-08-25,35
2017-08-26,37
2017-08-27,3
2017-08-28,7
2017-08-29,34
2017-08-30,25
2017-08-31,11
2017-09-01,13
2017-09-02,13
2017-09-03,14
2017-09-04,6
2017-09-05,0
2017-09-06,20
2017-09-07,29
2017-09-08,26
2017-09-09,21
2017-09-10,0
2017-09-11,0
2017-09-12,5
2017-09-13,32
2017-09-14,8
2017-09-15,0
2017-09-16,0
2017-09-17,0
2017-09-18,24
2017-09-19,14
2017-09-20,25
2017-09-21,9
2017-09-22,14
2017-09-23,16
2017-09-24,14
2017-09-25,6
2017-09-26,NA
2017-09-27,18
2017-09-28,36
2017-09-29,31
2017-09-30,16
2017-10-01,3
2017-10-02,9
2017-10-03,36
2017-10-04,21
2017-10-05,0
2017-10-06,0
2017-10-07,7
2017-10-08,19
2017-10-09,38
2017-10-10,11
2017-10-11,37
2017-10-12,NA
