"¿œΩ√","º≠«≥ count"
2015-01-01,42
2015-01-02,43
2015-01-03,14
2015-01-04,6
2015-01-05,3
2015-01-06,39
2015-01-07,40
2015-01-08,43
2015-01-09,34
2015-01-10,29
2015-01-11,38
2015-01-12,25
2015-01-13,2
2015-01-14,12
2015-01-15,33
2015-01-16,32
2015-01-17,42
2015-01-18,14
2015-01-19,34
2015-01-20,5
2015-01-21,10
2015-01-22,25
2015-01-23,16
2015-01-24,22
2015-01-25,0
2015-01-26,30
2015-01-27,45
2015-01-28,19
2015-01-29,16
2015-01-30,41
2015-01-31,37
2015-02-01,32
2015-02-02,18
2015-02-03,22
2015-02-04,30
2015-02-05,39
2015-02-06,40
2015-02-07,20
2015-02-08,45
2015-02-09,31
2015-02-10,28
2015-02-11,40
2015-02-12,43
2015-02-13,44
2015-02-14,13
2015-02-15,2
2015-02-16,2
2015-02-17,40
2015-02-18,36
2015-02-19,28
2015-02-20,6
2015-02-21,0
2015-02-22,32
2015-02-23,43
2015-02-24,38
2015-02-25,15
2015-02-26,40
2015-02-27,28
2015-02-28,6
2015-03-01,43
2015-03-02,22
2015-03-03,20
2015-03-04,46
2015-03-05,26
2015-03-06,20
2015-03-07,32
2015-03-08,20
2015-03-09,43
2015-03-10,44
2015-03-11,29
2015-03-12,32
2015-03-13,38
2015-03-14,28
2015-03-15,26
2015-03-16,17
2015-03-17,20
2015-03-18,0
2015-03-19,18
2015-03-20,33
2015-03-21,31
2015-03-22,42
2015-03-23,41
2015-03-24,36
2015-03-25,29
2015-03-26,37
2015-03-27,34
2015-03-28,26
2015-03-29,38
2015-03-30,24
2015-03-31,7
2015-04-01,0
2015-04-02,1
2015-04-03,19
2015-04-04,0
2015-04-05,0
2015-04-06,33
2015-04-07,16
2015-04-08,18
2015-04-09,20
2015-04-10,32
2015-04-11,33
2015-04-12,3
2015-04-13,0
2015-04-14,0
2015-04-15,26
2015-04-16,17
2015-04-17,31
2015-04-18,10
2015-04-19,0
2015-04-20,7
2015-04-21,23
2015-04-22,30
2015-04-23,20
2015-04-24,36
2015-04-25,32
2015-04-26,18
2015-04-27,29
2015-04-28,11
2015-04-29,6
2015-04-30,13
2015-05-01,30
2015-05-02,27
2015-05-03,13
2015-05-04,38
2015-05-05,30
2015-05-06,21
2015-05-07,14
2015-05-08,27
2015-05-09,39
2015-05-10,29
2015-05-11,2
2015-05-12,23
2015-05-13,25
2015-05-14,19
2015-05-15,40
2015-05-16,33
2015-05-17,24
2015-05-18,20
2015-05-19,26
2015-05-20,39
2015-05-21,27
2015-05-22,31
2015-05-23,29
2015-05-24,27
2015-05-25,34
2015-05-26,34
2015-05-27,31
2015-05-28,15
2015-05-29,26
2015-05-30,35
2015-05-31,22
2015-06-01,26
2015-06-02,28
2015-06-03,34
2015-06-04,28
2015-06-05,5
2015-06-06,9
2015-06-07,30
2015-06-08,33
2015-06-09,41
2015-06-10,23
2015-06-11,8
2015-06-12,23
2015-06-13,16
2015-06-14,20
2015-06-15,23
2015-06-16,31
2015-06-17,18
2015-06-18,2
2015-06-19,17
2015-06-20,14
2015-06-21,14
2015-06-22,33
2015-06-23,35
2015-06-24,28
2015-06-25,7
2015-06-26,0
2015-06-27,2
2015-06-28,24
2015-06-29,40
2015-06-30,28
2015-07-01,31
2015-07-02,28
2015-07-03,41
2015-07-04,19
2015-07-05,37
2015-07-06,33
2015-07-07,7
2015-07-08,0
2015-07-09,0
2015-07-10,13
2015-07-11,11
2015-07-12,0
2015-07-13,19
2015-07-14,28
2015-07-15,8
2015-07-16,0
2015-07-17,0
2015-07-18,15
2015-07-19,1
2015-07-20,0
2015-07-21,18
2015-07-22,36
2015-07-23,27
2015-07-24,14
2015-07-25,17
2015-07-26,29
2015-07-27,28
2015-07-28,30
2015-07-29,24
2015-07-30,19
2015-07-31,24
2015-08-01,21
2015-08-02,13
2015-08-03,23
2015-08-04,22
2015-08-05,31
2015-08-06,28
2015-08-07,12
2015-08-08,1
2015-08-09,24
2015-08-10,39
2015-08-11,24
2015-08-12,11
2015-08-13,6
2015-08-14,23
2015-08-15,20
2015-08-16,2
2015-08-17,2
2015-08-18,11
2015-08-19,12
2015-08-20,24
2015-08-21,31
2015-08-22,35
2015-08-23,16
2015-08-24,0
2015-08-25,2
2015-08-26,29
2015-08-27,37
2015-08-28,19
2015-08-29,17
2015-08-30,21
2015-08-31,4
2015-09-01,0
2015-09-02,1
2015-09-03,10
2015-09-04,14
2015-09-05,8
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,2
2015-09-10,29
2015-09-11,28
2015-09-12,39
2015-09-13,38
2015-09-14,14
2015-09-15,0
2015-09-16,2
2015-09-17,0
2015-09-18,12
2015-09-19,22
2015-09-20,19
2015-09-21,10
2015-09-22,11
2015-09-23,5
2015-09-24,9
2015-09-25,17
2015-09-26,33
2015-09-27,19
2015-09-28,6
2015-09-29,6
2015-09-30,1
2015-10-01,17
2015-10-02,18
2015-10-03,33
2015-10-04,23
2015-10-05,23
2015-10-06,16
2015-10-07,15
2015-10-08,26
2015-10-09,38
2015-10-10,15
2015-10-11,29
2015-10-12,38
2015-10-13,23
2015-10-14,24
2015-10-15,17
2015-10-16,24
2015-10-17,22
2015-10-18,24
2015-10-19,18
2015-10-20,29
2015-10-21,28
2015-10-22,6
2015-10-23,25
2015-10-24,30
2015-10-25,2
2015-10-26,6
2015-10-27,35
2015-10-28,32
2015-10-29,26
2015-10-30,35
2015-10-31,33
2015-11-01,13
2015-11-02,18
2015-11-03,24
2015-11-04,19
2015-11-05,14
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,38
2015-11-10,35
2015-11-11,4
2015-11-12,0
2015-11-13,0
2015-11-14,14
2015-11-15,34
2015-11-16,0
2015-11-17,18
2015-11-18,0
2015-11-19,0
2015-11-20,20
2015-11-21,22
2015-11-22,3
2015-11-23,13
2015-11-24,18
2015-11-25,17
2015-11-26,39
2015-11-27,33
2015-11-28,2
2015-11-29,0
2015-11-30,31
2015-12-01,0
2015-12-02,22
2015-12-03,40
2015-12-04,42
2015-12-05,32
2015-12-06,24
2015-12-07,28
2015-12-08,22
2015-12-09,0
2015-12-10,9
2015-12-11,18
2015-12-12,0
2015-12-13,0
2015-12-14,1
2015-12-15,30
2015-12-16,5
2015-12-17,2
2015-12-18,0
2015-12-19,6
2015-12-20,3
2015-12-21,2
2015-12-22,1
2015-12-23,6
2015-12-24,33
2015-12-25,34
2015-12-26,8
2015-12-27,7
2015-12-28,12
2015-12-29,10
2015-12-30,10
2015-12-31,3
