"¿œΩ√","º≠«≥ count"
2014-01-01,33
2014-01-02,41
2014-01-03,20
2014-01-04,43
2014-01-05,37
2014-01-06,8
2014-01-07,14
2014-01-08,40
2014-01-09,40
2014-01-10,27
2014-01-11,27
2014-01-12,33
2014-01-13,46
2014-01-14,24
2014-01-15,26
2014-01-16,12
2014-01-17,27
2014-01-18,37
2014-01-19,16
2014-01-20,17
2014-01-21,33
2014-01-22,29
2014-01-23,6
2014-01-24,0
2014-01-25,23
2014-01-26,37
2014-01-27,18
2014-01-28,40
2014-01-29,13
2014-01-30,28
2014-01-31,5
2014-02-01,0
2014-02-02,26
2014-02-03,31
2014-02-04,34
2014-02-05,32
2014-02-06,15
2014-02-07,0
2014-02-08,6
2014-02-09,41
2014-02-10,6
2014-02-11,0
2014-02-12,5
2014-02-13,8
2014-02-14,2
2014-02-15,22
2014-02-16,23
2014-02-17,12
2014-02-18,0
2014-02-19,15
2014-02-20,39
2014-02-21,41
2014-02-22,29
2014-02-23,26
2014-02-24,32
2014-02-25,35
2014-02-26,3
2014-02-27,28
2014-02-28,22
2014-03-01,42
2014-03-02,34
2014-03-03,28
2014-03-04,17
2014-03-05,23
2014-03-06,38
2014-03-07,42
2014-03-08,32
2014-03-09,35
2014-03-10,39
2014-03-11,19
2014-03-12,11
2014-03-13,4
2014-03-14,22
2014-03-15,20
2014-03-16,16
2014-03-17,13
2014-03-18,37
2014-03-19,13
2014-03-20,32
2014-03-21,35
2014-03-22,26
2014-03-23,25
2014-03-24,18
2014-03-25,30
2014-03-26,25
2014-03-27,32
2014-03-28,23
2014-03-29,7
2014-03-30,23
2014-03-31,32
2014-04-01,27
2014-04-02,41
2014-04-03,32
2014-04-04,30
2014-04-05,37
2014-04-06,33
2014-04-07,18
2014-04-08,38
2014-04-09,35
2014-04-10,30
2014-04-11,21
2014-04-12,24
2014-04-13,14
2014-04-14,26
2014-04-15,38
2014-04-16,18
2014-04-17,16
2014-04-18,16
2014-04-19,1
2014-04-20,16
2014-04-21,39
2014-04-22,37
2014-04-23,24
2014-04-24,29
2014-04-25,17
2014-04-26,19
2014-04-27,10
2014-04-28,0
2014-04-29,0
2014-04-30,18
2014-05-01,32
2014-05-02,18
2014-05-03,40
2014-05-04,13
2014-05-05,33
2014-05-06,32
