"¿œΩ√","º≠«≥ count"
2016-01-01,11
2016-01-02,10
2016-01-03,23
2016-01-04,22
2016-01-05,1
2016-01-06,7
2016-01-07,7
2016-01-08,22
2016-01-09,4
2016-01-10,0
2016-01-11,0
2016-01-12,2
2016-01-13,15
2016-01-14,24
2016-01-15,5
2016-01-16,0
2016-01-17,2
2016-01-18,20
2016-01-19,23
2016-01-20,15
2016-01-21,14
2016-01-22,23
2016-01-23,15
2016-01-24,21
2016-01-25,21
2016-01-26,18
2016-01-27,26
2016-01-28,1
2016-01-29,0
2016-01-30,21
2016-01-31,24
2016-02-01,23
2016-02-02,22
2016-02-03,16
2016-02-04,31
2016-02-05,21
2016-02-06,21
2016-02-07,24
2016-02-08,20
2016-02-09,35
2016-02-10,6
2016-02-11,0
2016-02-12,0
2016-02-13,8
2016-02-14,34
2016-02-15,24
2016-02-16,28
2016-02-17,30
2016-02-18,21
2016-02-19,26
2016-02-20,15
2016-02-21,26
2016-02-22,21
2016-02-23,20
2016-02-24,28
2016-02-25,29
2016-02-26,31
2016-02-27,22
2016-02-28,9
2016-02-29,22
2016-03-01,31
2016-03-02,21
2016-03-03,20
2016-03-04,0
2016-03-05,0
2016-03-06,18
2016-03-07,5
2016-03-08,18
2016-03-09,15
2016-03-10,12
2016-03-11,18
2016-03-12,25
2016-03-13,17
2016-03-14,20
2016-03-15,20
2016-03-16,22
2016-03-17,15
2016-03-18,11
2016-03-19,28
2016-03-20,20
2016-03-21,20
2016-03-22,31
2016-03-23,21
2016-03-24,9
2016-03-25,23
2016-03-26,30
2016-03-27,31
2016-03-28,27
2016-03-29,33
2016-03-30,29
2016-03-31,14
2016-04-01,18
2016-04-02,24
2016-04-03,8
2016-04-04,15
2016-04-05,37
2016-04-06,8
2016-04-07,19
2016-04-08,31
2016-04-09,28
2016-04-10,27
2016-04-11,15
2016-04-12,16
2016-04-13,11
2016-04-14,26
2016-04-15,16
2016-04-16,6
2016-04-17,37
2016-04-18,35
2016-04-19,21
2016-04-20,15
2016-04-21,15
2016-04-22,28
2016-04-23,17
2016-04-24,14
2016-04-25,22
2016-04-26,4
2016-04-27,0
2016-04-28,23
2016-04-29,21
2016-04-30,26
2016-05-01,25
2016-05-02,17
2016-05-03,27
2016-05-04,42
2016-05-05,15
2016-05-06,27
2016-05-07,20
2016-05-08,14
2016-05-09,20
2016-05-10,12
2016-05-11,25
2016-05-12,22
2016-05-13,23
2016-05-14,11
2016-05-15,24
2016-05-16,31
2016-05-17,23
2016-05-18,27
2016-05-19,14
2016-05-20,9
2016-05-21,5
2016-05-22,11
2016-05-23,20
2016-05-24,21
2016-05-25,20
2016-05-26,32
2016-05-27,30
2016-05-28,32
2016-05-29,38
2016-05-30,39
2016-05-31,37
2016-06-01,12
2016-06-02,23
2016-06-03,36
2016-06-04,27
2016-06-05,12
2016-06-06,0
2016-06-07,27
2016-06-08,36
2016-06-09,38
2016-06-10,29
2016-06-11,29
2016-06-12,31
2016-06-13,42
2016-06-14,22
2016-06-15,12
2016-06-16,27
2016-06-17,15
2016-06-18,24
2016-06-19,27
2016-06-20,21
2016-06-21,19
2016-06-22,12
